Serving RSRP_All Logs,Serving RSRQ_All Logs,Serving RSSI_All Logs,Serving PCC SINR_All Logs,Serving DL EARFCN_All Logs,PCC PHY Throughput DL_All Logs,PDCP Throughput DL_All Logs
-95.79,-9.88,-71.82,7.49,1876,6131.12,4513.24
-93.77,-9.36,-70.34,8.52,1876,5929.94,5354.21
-95.1,-9.34,-71.68,9.4,1876,6324.88,4790.72
-95.04,-9.42,-71.58,7.89,1876,6186.18,4324.6
-96.42,-10.02,-72.3,7.31,1876,5509.2,4868.43
-97.02,-10.03,-72.94,6.34,1876,5146.76,3548.71
-95.61,-9.21,-72.32,7.24,1876,4380.98,4197.98
-94.08,-9.1,-70.89,8.11,1876,5864.9,4410.01
-94.08,-8.97,-70.98,9.65,1876,5219.56,5308.52
-93.38,-8.79,-70.34,9.8,1876,7203.18,5958.72
-91.23,-8.49,-68.34,10.92,1876,6221.06,6377
-88.98,-8.35,-66.35,12.39,1876,8492.47,6819.57
-87.87,-8.61,-65.06,12.8,1876,7387.36,7455.07
-90.67,-9.26,-67.35,11.66,1876,9050.94,6904.19
-91.63,-8.96,-68.45,11.39,1876,7493.15,5578.13
-90.02,-8.65,-67.08,12.41,1876,7045.91,5198.04
-89.32,-9.11,-66,12.72,1876,8246.25,5287.9
-94.23,-8.94,-71.15,7.87,1876,6320.62,3922.34
-93.42,-9.33,-70.02,8.89,1876,5419.88,3703.23
-91.09,-8.89,-68,11.7,1876,5933.81,5790.05
-87.13,-8.03,-64.73,14.06,1876,8738.19,8013.43
-89.6,-8.04,-67.37,11.72,1876,9458.29,7660.76
-90.7,-8.7,-67.92,11.28,1876,8168.63,6817.37
-94.91,-9.03,-71.69,8.5,1876,6538.76,4875.59
-95.66,-9.08,-72.43,7.31,1876,6390.13,4506.23
-95.38,-9.64,-71.65,6.83,1876,4826.69,3754.05
-95.72,-9.38,-72.26,7.1,1876,4365.65,4062.45
-92.45,-9.01,-69.28,9.64,1876,5367.28,5423.61
-93.89,-7.89,-71.82,8.53,1876,6140.6,3848.14
-90.21,-6.7,-69.44,10.85,1876,4804.89,513.08
-91.62,-8.63,-68.69,9.8,1876,4616.55,3916.52
-88.27,-8.49,-65.45,11.77,1876,7048.46,6179.23
-89.68,-9.21,-66.32,8.81,1876,6871.79,4358.71
-92.52,-9.6,-68.78,7.11,1876,5509.13,3911.14
-94.46,-9.39,-70.96,7.82,1876,5911.08,5047.96
-93.05,-9.65,-69.33,8.21,1876,5508.66,5508.43
-93.25,-9,-70.14,7.54,1876,6537.63,4776.11
-92.22,-9.04,-69.08,8.34,1876,5889.73,4560.8
-91.72,-9.36,-68.23,7.93,1876,6111.64,4762.29
-93.71,-9.56,-70.02,4.87,1876,4284.31,3143.16
-92.77,-9.23,-69.29,5.67,1876,4168.17,3172.66
-93.53,-10.16,-68.67,2.29,1876,3421.93,2331.42
-92.94,-10,-68.28,2.18,1876,2733.07,2409.42
-93.93,-10.53,-68.81,0.56,1876,2542.01,1292.46
-96.14,-11.93,-69.53,0.74,1876,1161.14,1227.86
-94.23,-9.08,-71.08,5.3,1876,4445.02,4200.75
-98.85,-9.18,-75.53,3,1876,3265.98,2564.89
-97.5,-8.36,-75.02,4.98,1876,3390.76,3051.08
-94.31,-8.6,-71.67,5.95,1876,4232.67,4166.9
-95.16,-9.1,-72.05,4.62,1876,4458.59,3255.3
-93.11,-9.19,-69.84,4.98,1876,3498.05,3519.56
-94.96,-9.33,-71.61,5.64,1876,3779.33,3405.61
-94.08,-9.35,-70.67,3.9,1876,4232.36,3715.17
-93.64,-9.57,-69.97,4.48,1876,2585.87,1703.87
-92.76,-4.71,-73.84,9.25,1876,350.1,0
-90.88,-4.17,-72.7,10.86,1876,146,11.97
-89.88,-7.43,-68.43,10.49,1876,5485.21,3381.01
-86.66,-7.18,-65.48,12.02,1876,8170.34,6407.24
-87.13,-7.01,-66.1,12.92,1876,8119.44,7039.36
-89.4,-7.98,-67.4,10.71,1876,8077.95,6494.31
-92.1,-8.41,-69.67,8.11,1876,6344.48,4999.26
-90.34,-8.76,-67.53,13.15,1876,7168.4,3891.92
-89.75,-8.42,-67.01,8.79,1876,7068.52,3793.19
-94.69,-8.41,-72.03,8.08,1876,6933.19,3761.3
-97.26,-7.75,-75.18,6.29,1876,5352.99,3920.26
-93.12,-7.84,-71.24,8.78,1876,5345.25,5615.04
-91.41,-8.55,-68.57,11.18,1876,8866.76,7871.14
-88.74,-8.8,-65.88,14.04,1876,10313.67,8278.42
-90.04,-8.82,-67.07,13.64,1876,10315.31,7133.98
-89.95,-8.83,-67.1,13.11,1876,10666.99,9092.9
-88.45,-8.92,-65.51,12.43,1876,10928.57,9003.6
-86.13,-8.14,-63.95,12.67,1876,10680.52,9780.36
-84.25,-7.9,-62.34,14.05,1876,11891.58,11260.27
-86.62,-7.84,-64.77,12.68,1876,12237.05,10334.28
-86.15,-7.91,-64.23,13.03,1876,10928.79,9579.03
-88.74,-8.57,-66.15,10.37,1876,10117.04,8199.67
-88.45,-8.35,-66.09,10.35,1876,9457.5,8103.07
-87.84,-8.5,-65.24,12.5,1876,9113.87,8314.04
-91.89,-8.21,-69.5,9.25,1876,8121.52,6228.35
-94.1,-8.46,-71.13,8.09,1876,7381.79,5882.39
-97.16,-9,-74.01,4.86,1876,3948.06,3338.9
-96.01,-9.27,-72.37,4.67,1876,4387.96,3879.08
-95.79,-8.97,-72.27,4.71,1876,4051.77,3253.47
-92,-8.98,-68.93,6.74,1876,5135.14,5155.25
-91.76,-8.77,-68.88,10.3,1876,5641.35,4932.49
-90.74,-8.55,-67.83,10.94,1876,7478.72,6716.23
-90.86,-8.97,-67.58,11.71,1876,9611.11,7866.57
-86.86,-8.32,-64.12,13.57,1876,9142.14,8990.17
-89.81,-8.06,-67.74,8.67,1876,8875.57,7135.97
-87.99,-8.2,-65.71,12.46,1876,9155.15,7788.77
-87.56,-8.3,-65.26,12.01,1876,8216.68,7673.85
-86.88,-8.25,-64.55,11.71,1876,9512.74,7824.13
-89.55,-8.49,-67.03,11.12,1876,8766.59,7864.8
-88.46,-8.09,-66.29,11.56,1876,9566.98,7957.54
-89.85,-8.13,-67.67,10.22,1876,7835.06,6075.27
-88.66,-7.15,-67.44,12.1,1876,7074.91,6518.41
-91.26,-7.77,-69.31,9.42,1876,7160.01,5689.42
-93.16,-8.47,-70.52,8.55,1876,5776.88,4943.64
-92.42,-7.49,-70.73,9.6,1876,6576.04,5700.67
-88.67,-8.5,-66.09,13.18,1876,8633.61,7638.44
-90.93,-8.86,-68.02,10.46,1876,7406.64,5523.08
-90.34,-8.09,-67.88,10.33,1876,6393.72,5700.41
-92.38,-7.93,-70.13,8.32,1876,6841.01,4575.65
-95.64,-8.66,-72.84,5.29,1876,5528.22,3748.73
-96.83,-8.03,-74.74,4.21,1876,3089.18,2227.12
-93.93,-7.03,-72.85,6.92,1876,3469.94,3131.41
-96.65,-6.15,-76.36,4.13,1876,2945.89,2299.33
-94.7,-8.03,-72.43,5.95,1876,2342.56,2031.03
-92.69,-7.26,-71.17,8.29,1876,4493.71,4149.44
-89.62,-7.51,-67.91,10.67,1876,5190.49,4149.89
-87.11,-7.96,-65,15.07,1876,6621.07,6142.94
-84.77,-8.53,-61.99,16.83,1876,7644,6157.97
-87.43,-8.7,-64.6,14.41,1876,7227.62,6101.95
-86.48,-8.08,-64.37,12.89,1876,6775.16,5265.46
-86.41,-8.63,-63.72,15.92,1876,10434.54,6748.47
-87.35,-8.54,-64.47,15.08,1876,9255.98,8449.08
-88.69,-8.92,-65.74,13.08,1876,9295.62,8742.9
-89.02,-8.84,-66.01,13.16,1876,9444.25,8527.32
-89.25,-8.82,-66.31,12.82,1876,9648.08,6392.96
-90.75,-8.66,-68,11.26,1876,7416.91,7134.7
-90.78,-8.28,-68.19,11.3,1876,8457.56,8823.57
-88.5,-8.53,-65.72,13.4,1876,10059.81,8807.32
-85.43,-8.3,-63.1,16.45,1876,11598.14,11047.61
-85.42,-8.99,-62.41,16.14,1876,12684.03,12060.52
-83.84,-8.69,-61.11,18.58,1876,13672.55,11866.46
-83.71,-8.7,-60.87,17.09,1876,13072.83,11684.98
-85.16,-8.7,-62.37,16.34,1876,11674.21,10226.92
-85.04,-8.48,-62.36,14.76,1876,10130.29,9161.1
-83.75,-8.29,-61.29,15.9,1876,11971.1,10403.85
-81.9,-7.92,-59.52,17.41,1876,11169.11,10675.48
-85.38,-8.43,-62.83,16.45,1876,13569.64,10988.97
-88.93,-8.95,-65.9,14.45,1876,10861.24,9335.39
-91.11,-8.56,-68.39,11.7,1876,10498.5,8839.46
-92.38,-8.67,-69.63,10.24,1876,7929.02,6578.39
-90.26,-8.78,-67.33,11.76,1876,7302.77,6082.07
-88.78,-8.47,-66.05,13.5,1876,8648.78,7592.47
-84.25,-8.38,-61.76,17.7,1876,11045.86,10917.24
-81.68,-8.34,-59.23,19.44,1876,14129.57,10598.01
-87.24,-8.71,-64.36,14.76,1876,14057.99,10514.17
-89.95,-8.63,-67.19,12.11,1876,9983.46,8737.75
-89.21,-8.73,-66.3,13.6,1876,9175.47,6942.8
-88.55,-8.88,-65.56,14.82,1876,10851.51,9413.04
-89.71,-8.75,-66.86,13.93,1876,11418.13,10434.7
-89.79,-8.93,-66.79,14.03,1876,10973.69,10273.37
-95.76,-9.09,-72.58,9.2,1876,8396.95,5768.66
-99.11,-8.79,-76.25,5.87,1876,5714.59,4771.81
-99.36,-9.35,-75.97,4.91,1876,4727.38,3798.52
-100.75,-9.3,-77.35,4.34,1876,4235.71,3282.43
-101.1,-9.73,-77.3,3.62,1876,3373.62,2077.56
-101.16,-9.56,-77.48,3.05,1876,2833.48,1442.49
-100.7,-9.74,-76.82,3.36,1876,2693.68,2307.92
-99.66,-9.59,-75.86,3.73,1876,3488.31,2724.22
-99.51,-9.35,-76.07,4.23,1876,3088.31,1846.27
-100.38,-8.63,-77.12,3.25,1876,3105.53,2815.75
-100.23,-9.26,-76.51,2.76,1876,3417.23,3050.9
-100.47,-9.61,-76.68,2.47,1876,4074.75,3496.42
-100.68,-9.35,-77.18,1.51,1876,3710.73,3047.42
-100.48,-8.8,-77.64,2.68,1876,3334.95,2961
-100.92,-9.28,-77.63,2.24,1876,3226.83,2332.77
-101.26,-10.29,-76.86,1.21,1876,2794.83,1682.96
-100.72,-10.25,-76.46,-0.75,1876,2082.22,1753.97
-102.26,-11.25,-76.67,0.61,1876,1439.76,657.61
-100.44,-7.52,-78.87,1.84,1876,129.6,0
-100.18,-6.54,-79.26,3.02,1876,112,0
-99.47,-6.01,-79.34,3.89,1876,80,35.03
-99.94,-5.97,-79.64,3.86,1876,106.67,0
-101.06,-5.9,-81.02,2.96,1876,1907.29,26.1
-96.38,-5.53,-76.46,6.5,1876,80,0
-96.23,-5.72,-76.17,6.49,1876,142.67,107.57
-95.96,-8.77,-73.05,5.59,1876,5349.59,4257.56
-94.86,-8.63,-72.2,6.72,1876,5213.98,4793.39
-92.15,-8.14,-69.91,9.74,1876,5547.67,6469.51
-93.58,-8.62,-70.79,9.61,1876,7371.94,4785.31
-92.97,-9.1,-69.67,9.58,1876,6578.65,5540.43
-92.99,-9.08,-69.58,8.93,1876,7152.11,5904.49
-94.18,-8.55,-71.46,7.97,1876,6304.59,5984.86
-95.19,-8.76,-72.37,7.07,1876,6248.03,4545.52
-91.5,-8.59,-68.73,9.63,1876,5736.75,5688.63
-96.21,-9.54,-72.45,5.16,1876,6523.45,4159.42
-96.42,-9.3,-72.94,5.38,1876,4281.31,2932.21
-96.51,-8.85,-73.61,5.44,1876,4108.89,3511.08
-98.22,-9.52,-74.65,4.1,1876,4699.76,3049.56
-97.4,-8.99,-74.23,6.05,1876,4126.16,4565.15
-95.53,-8.98,-72.44,7.06,1876,5399.35,5115.85
-93.08,-8.44,-70.16,8.15,1876,6675.91,5992.72
-93.89,-9,-70.54,7.71,1876,6691.64,5636.24
-96.15,-9.38,-72.69,6.77,1876,5481.42,5497.23
-95.71,-9.37,-72.21,6.84,1876,6277.39,5258.26
-94.08,-8.27,-71.57,8.3,1876,6116.07,4596.71
-91.87,-9.25,-68.56,10.77,1876,6844.33,7127.97
-89.24,-8.72,-66.45,12.83,1876,9119.57,8253.89
-90.33,-9.17,-67.12,11.69,1876,10114.59,8173.45
-93.86,-8.99,-70.75,9.59,1876,8605.03,7378.82
-95.13,-9.02,-72.07,7.68,1876,7980.82,5417.46
-95.92,-9.2,-72.55,7.17,1876,5741.24,5921.74
-97.01,-9.46,-73.47,6.85,1876,6475.17,4945.8
-95.76,-8.87,-72.88,7.15,1876,5850.21,5050.88
-93.48,-9.54,-69.89,9.57,1876,7209.94,7032.73
-93.92,-9.67,-70.16,9.58,1876,8544.73,6975.92
-94.18,-9.7,-70.41,8.78,1876,7901.2,5889.07
-92.44,-9.57,-68.77,9.68,1876,7334.18,5913.25
-92.37,-9.21,-69.12,9.63,1876,7918.57,6603.1
-93.01,-9.08,-69.86,8.33,1876,7382.72,5920.13
-94.94,-9.29,-71.63,7.69,1876,6743.46,5188.78
-94.69,-9.63,-70.94,7.66,1876,6425.61,5300.04
-93.93,-9.51,-70.4,7.61,1876,6800.41,5993.05
-93.87,-9.48,-70.38,7.95,1876,7385.99,5872.03
-94.2,-9.88,-70.22,8.4,1876,7397.76,6295.25
-96.4,-9.26,-73.12,5.95,1876,7448.96,5032.8
-96.78,-9.4,-73.35,5.62,1876,5196.72,4583.3
-97,-9.35,-73.6,5.9,1876,5328.97,4314.77
-93.82,-8.86,-70.95,8.39,1876,5748.83,5456
-92.83,-9.17,-69.61,7.84,1876,7146.09,5943.51
-92.57,-8.51,-70.06,6.63,1876,6832.79,6270.43
-94.18,-8.05,-72.12,5.3,1876,6783.07,3129.66
-95.68,-8.76,-72.89,4.17,1876,4736.1,1814.86
-96.43,-7.84,-74.51,4.78,1876,3724.91,2312.21
-95.89,-7.13,-74.75,4.34,1876,3801.5,3889.22
-95.47,-8.84,-72.53,7.17,1876,5171.85,5617.77
-95.69,-7.7,-73.83,6.47,1876,6493.67,5209.5
-95.01,-8.8,-72.11,6.07,1876,5877.63,5421.17
-93.51,-8.85,-70.51,9.46,1876,6072.72,6200.01
-91.76,-8.81,-68.7,11.03,1876,8355.49,7372.92
-89.81,-9.26,-66.49,12.24,1876,8878.7,8380.17
-95.16,-8.95,-72.14,7.24,1876,8259.45,5386.05
-97.06,-8.44,-74.55,6.46,1876,6027.04,4995.98
-95.56,-9.04,-72.44,7.45,1876,5458.25,4917.19
-94.68,-8.7,-71.91,7.46,1876,6115.68,5428.38
-93.91,-8.69,-71.02,8.9,1876,6590.64,6604.09
-95.57,-8.56,-72.89,7.24,1876,6613.84,5054.03
-95.09,-9.32,-71.55,8.96,1876,6623.89,6714.7
-96.27,-9.21,-72.87,7.26,1876,7142.58,5687.33
-92.43,-9.08,-69.13,10,1876,6880.65,6668.48
-92.07,-9.18,-68.84,10.78,1876,8129.2,6883.66
-93.32,-9.41,-69.83,8.74,1876,9089.87,6288.85
-91.7,-9.1,-68.58,11.31,1876,6755.94,6881.87
-91.45,-9.31,-68.08,10.76,1876,8580.44,7419.81
-88.28,-9.26,-65,12.06,1876,8726.43,6522.17
-88.28,-9.21,-65.02,13.01,1876,10256.23,9505.17
-90.72,-9.17,-67.5,11.53,1876,9715.8,7664.72
-89.28,-9.2,-65.85,13.28,1876,9343.5,9196.16
-87.55,-8.71,-64.78,14.07,1876,10951.31,10172.59
-87.6,-8.8,-64.75,14.02,1876,12550.06,10708.71
-87.81,-9.05,-64.72,14.11,1876,10383.18,10522.13
-88.44,-8.7,-65.71,13.41,1876,12037.27,10173.25
-89.02,-8.32,-66.67,13.84,1876,11431.61,10290.14
-88.24,-8.45,-65.78,13.16,1876,11222.18,9714.87
-92.35,-8.27,-69.98,10.26,1876,9745.44,7627.6
-91.83,-8.9,-68.69,11.44,1876,8688.18,8184.62
-90.55,-8.61,-67.91,11.45,1876,8988.96,7367.66
-93.57,-9.08,-70.31,9.76,1876,8856.5,7235.74
-93.2,-8.45,-70.62,9.53,1876,8049.28,6306.95
-92.46,-8.75,-69.66,10.96,1876,7743.26,8022.6
-91.24,-9.44,-67.72,11.63,1876,9173.78,7428.45
-91.79,-8.48,-69.15,11.12,1876,8355.09,8064.29
-90.71,-8.32,-68.21,11.33,1876,8743.45,7085.07
-90,-9.08,-66.87,12.63,1876,9461.62,8401.97
-92.92,-9.12,-69.7,10.56,1876,10157.27,7416.35
-90.31,-9.09,-67.12,13.45,1876,8510.06,9349.18
-92.44,-9.02,-69.24,11.24,1876,10753.85,8653.4
-92.45,-9.11,-69.32,11.36,1876,9248.5,8305.61
-92.38,-9.12,-69.15,11.23,1876,9584.74,5901.81
-89.24,-9.01,-66.1,12.86,1876,8706.18,9634.81
-85.63,-8.5,-63.03,15.25,1876,11703.68,12084.16
-87.48,-8.63,-64.77,13.93,1876,13237.48,10401.48
-87.19,-8.31,-64.78,14.29,1876,11264.24,9440.75
-87.19,-8.75,-64.32,14.68,1876,11130.74,9058.83
-87.19,-8.07,-65,14.89,1876,11016.65,10593.39
-89.67,-8.3,-67.22,13.14,1876,12477.5,10192.86
-89.96,-8.68,-67.2,12.98,1876,9078.75,9159.77
-93.22,-9.1,-69.93,9.91,1876,11566.86,8111.21
-96.76,-9.31,-73.35,6.71,1876,6882.22,4049.29
-96.9,-9.16,-73.6,5.92,1876,5794.94,5229.68
-96.43,-9.1,-73.08,6.06,1876,5628.08,4206.55
-97.95,-9.55,-74.3,5.44,1876,5789.73,5244.91
-96.83,-9.51,-73.27,6.29,1876,5512.51,4801.79
-97.64,-10.09,-73.51,4.61,1876,5876.95,4200.84
-95.96,-9.56,-72.37,6.58,1876,5069.47,4950.63
-97.79,-9.7,-74.05,5.6,1876,6048.46,5185.05
-96.68,-9.18,-73.34,6.53,1876,5245.03,4958.39
-95.84,-9.14,-72.58,7.47,1876,6235.72,5454.51
-97.06,-9.42,-73.5,6.05,1876,5870.3,4835.05
-94.46,-9.29,-71.05,7.7,1876,6104.8,6067.39
-94.95,-9.29,-71.58,8.05,1876,7301.83,6437.04
-95.28,-8.91,-72.26,6.78,1876,6887.96,4970.37
-95.02,-8.16,-72.79,6.47,1876,5397.41,4705.23
-91.92,-8.56,-69.28,9.11,1876,6240.48,5242.23
-95.44,-9.4,-71.95,7.17,1876,7163.16,5863.99
-96.4,-9.03,-73.27,6.9,1876,6233.5,5514.8
-95.51,-9.16,-72.23,7.82,1876,6096.07,5181.44
-94.78,-9.11,-71.58,7.94,1876,7055.4,5951.99
-96.23,-8.66,-73.48,6.28,1876,6330.63,5054.51
-96.59,-8.62,-73.92,5.73,1876,5271.1,3984.17
-95.93,-9.86,-72.04,6.36,1876,5698.86,4837.87
-95.65,-9.33,-72.18,7.15,1876,5465.64,5662.22
-97.62,-9.68,-73.88,6.13,1876,6455.22,5007.4
-95.8,-9.55,-72.2,6.89,1876,5268.5,4872.51
-95.58,-9.12,-72.34,7.82,1876,6164.21,5585.31
-96.28,-9.14,-73.03,6.77,1876,6515.54,4685.92
-97.25,-9.61,-73.55,5.96,1876,5694.7,4477.51
-96.64,-9.44,-73.01,6.87,1876,5500.41,4857.83
-95.8,-9.21,-72.53,7.15,1876,5827.54,5317.73
-96.03,-9.51,-72.51,6.07,1876,5973.62,4720.29
-95.62,-9.82,-71.78,6.28,1876,5606.95,4757.87
-96,-9.71,-72.26,6.2,1876,5675.91,5134.98
-95.72,-9.51,-72.11,6.79,1876,5415.28,4724.08
-94.98,-9.47,-71.48,6.87,1876,5769.94,5111.95
-94.35,-9.25,-71.09,6.97,1876,6216.96,5149.21
-92.1,-8.6,-69.49,7.97,1876,6382.62,5483.27
-91.52,-9,-68.43,10.27,1876,6590.71,6300.23
-93.02,-8.9,-70.1,9.8,1876,8375.99,6603.97
-93.74,-8.39,-71.29,9.32,1876,7388.25,5024.28
-94.6,-8.99,-71.46,6.95,1876,7029.14,4243.36
-94.29,-8.53,-71.58,7.52,1876,5621.76,5033.7
-93.39,-9.06,-70.33,8.71,1876,6887.93,5999.98
-93.16,-8.95,-70.01,9.64,1876,6862.01,6557.25
-93.54,-8.77,-70.61,9.25,1876,8486.01,6928.7
-93.73,-9.37,-70.31,8.08,1876,7028.23,5718.1
-93.72,-9.29,-70.39,8.47,1876,6498.54,5301.93
-94.91,-9.18,-71.65,7.85,1876,6595.04,5494.77
-96.45,-8.48,-73.92,6.14,1876,6172.38,4644.74
-96.81,-9.4,-73.35,4.85,1876,5677.66,4295.82
-96.25,-9.49,-72.7,5.52,1876,4427.33,3554.34
-96.3,-9.31,-72.91,5.95,1876,5037.99,4096.6
-96.6,-8.98,-73.5,5.8,1876,4703.79,3509.85
-97.1,-8.92,-74.08,4.5,1876,4846.64,3484.85
-98.58,-9.38,-75.11,3.88,1876,4908.85,3584.58
-99.52,-10.04,-75.41,3.62,1876,3682.91,3092.61
-99.09,-9.76,-75.31,3.42,1876,3824.83,3427.15
-99.49,-10.3,-74.94,3.67,1876,4349.05,3437.78
-98.22,-9.86,-74.22,5.05,1876,4334.62,4365.53
-97.3,-8.93,-74.28,5.12,1876,4886.18,4373.89
-96.81,-9.33,-73.47,4.99,1876,5231.35,3842.69
-96.52,-9.11,-73.41,5.78,1876,5168.24,4847.48
-98.14,-9.6,-74.54,5.29,1876,5587.94,4821.24
-98.66,-9.79,-74.85,5.19,1876,5473.86,4829.06
-96.68,-9.68,-72.94,6.23,1876,5612.96,4655.8
-97.9,-10.51,-72.75,3.11,1876,5280.01,2945.88
-97.96,-10.96,-72.69,2.69,1876,3548.59,2902.91
-98.23,-9.58,-74.29,3.83,1876,3555.48,3023.46
-98.86,-9.66,-75.08,3.47,1876,3895.18,3374.02
-98.53,-9.18,-75.19,3.33,1876,4224.3,3615.62
-97.49,-10.31,-73.18,3.21,1876,4569.2,3153.51
-97.35,-10.19,-73.16,3.4,1876,4419.31,3357.81
-97.32,-10.01,-73.16,4.31,1876,4399.7,4114.07
-98.36,-9.94,-74.33,3.79,1876,4839.45,4062.21
-96.56,-9.06,-73.4,4.17,1876,4454.56,4119.51
-96.01,-9.43,-72.46,4.85,1876,4878.68,4499.47
-96.6,-9.43,-73.1,4.62,1876,5044.26,2947.65
-96.13,-9.76,-72.37,5.09,1876,4184.53,2290.11
-96.96,-9.41,-73.5,4.8,1876,4199.54,2524.34
-96.6,-9.96,-72.62,4.77,1876,4965.74,4662.83
-97.54,-9.85,-73.68,4.49,1876,5330.78,4424.39
-96.6,-9.74,-72.84,5.12,1876,4642.98,3035.94
-95.09,-8.89,-72.03,5.35,1876,4780.81,4519.44
-95.08,-9.47,-71.57,6.11,1876,5784.89,4926.61
-95.13,-9.06,-71.9,6.25,1876,5734.67,5130.42
-95.13,-9.22,-71.66,6.02,1876,5813.02,5089.13
-95.08,-9.37,-71.66,6.31,1876,5743.47,5105.37
-95.89,-9.09,-72.79,5.51,1876,5980.18,4924.49
-95.5,-9.05,-72.37,5.89,1876,5450.02,3542.73
-95.96,-9.37,-72.54,5.36,1876,4487.63,2537.46
-97.1,-9.54,-73.32,4.9,1876,4675.12,2130.59
-96.9,-9.45,-73.33,4.62,1876,4354.25,2886.06
-97.02,-9.34,-73.51,4.77,1876,5147.12,4157.56
-97.21,-9.61,-73.59,4.54,1876,5167.83,4556.75
-97.05,-9.2,-73.74,4.64,1876,5504.18,2740.02
-97.29,-9.97,-73.32,4.16,1876,4895.09,3865.65
-97.09,-9.11,-73.71,4.31,1876,4583.64,3695.26
-96.01,-10.09,-71.84,4.79,1876,4624.29,4288.06
-95.91,-9.46,-72.44,5.63,1876,5161.83,4362.86
-96.79,-9.79,-72.96,4.73,1876,5314.68,4527.48
-96.62,-9.16,-73.39,5.1,1876,4822,3807.52
-98.39,-9.17,-75.09,4.91,1876,4904.58,4253.05
-98.06,-8.78,-75.22,4.97,1876,5043.55,4599.23
-98.5,-9.26,-75.24,4.05,1876,5212.23,3824.25
-95.98,-9.64,-72.33,6.09,1876,5085.08,4332.86
-96.32,-9.5,-72.81,6.03,1876,6376.56,5277.34
-96.95,-9.45,-73.48,5.43,1876,5737.24,4893.25
-95.85,-9.54,-72.29,5.68,1876,5914.1,5216.01
-95.47,-9.66,-71.79,6.46,1876,6317.08,5548.28
-95.75,-9.76,-71.98,6.64,1876,6474.06,5729.46
-95.15,-9.69,-71.45,6.65,1876,6262.6,5610.56
-95.96,-9.51,-72.45,5.68,1876,6317.93,4340.14
-96.65,-9.4,-73.24,5.74,1876,5553.3,5140.38
-95.8,-9.27,-72.52,6.09,1876,5244.69,3640.39
-95.78,-9.61,-72.17,6.2,1876,5846.34,2822.72
-96.51,-9.96,-72.53,6.17,1876,5472.51,2890.94
-97.11,-9.32,-73.77,5.74,1876,5248.12,4385.2
-95.79,-9.63,-72.16,6.64,1876,5677.82,4652.85
-95.26,-9.13,-72.12,7.29,1876,6556.97,5257.17
-94.93,-9.35,-71.56,7.31,1876,6791.93,5100.84
-94.93,-9.36,-71.55,7.65,1876,6658.08,4826.97
-95.44,-9.4,-72.04,7.42,1876,6544.89,5711.4
-96.07,-9.41,-72.65,6.71,1876,6457.76,4859.56
-96.87,-9.83,-73.04,5.4,1876,6080.13,4340.11
-96.15,-9.42,-72.71,5.78,1876,5512.98,4916.65
-95.28,-9.56,-71.71,7.02,1876,6031.35,4072.35
-95.06,-9.46,-71.59,7.5,1876,6226.02,4878.46
-94.9,-9.28,-71.6,7.58,1876,5910.9,2440.76
-94.66,-9.62,-71.02,7.83,1876,5918.09,3046.36
-95.34,-10.03,-71.29,7,1876,5338.29,2316
-95.77,-9.77,-72,7.01,1876,5104.1,2282.15
-97.34,-9.49,-73.82,5.63,1876,4662.09,1472.53
-97.3,-8.86,-74.36,5.59,1876,3255.09,1745.99
-99.36,-9.49,-75.84,4,1876,4151.23,1696.43
-98.58,-8.97,-75.48,4.83,1876,3605.56,1800.66
-99.26,-9.64,-75.58,4.24,1876,3982.31,1316.01
-97.9,-9.54,-74.32,5.26,1876,3830.7,2621.58
-98.26,-9.79,-74.39,5.35,1876,4220.5,1442.39
-98.43,-8.32,-75.7,4.92,1876,3711.3,1905.02
-97.02,-9.21,-73.45,6.17,1876,4298.6,2123.39
-97.24,-9.43,-73.65,5.66,1876,4651.8,1850.38
-96.08,-9.69,-72.33,5.77,1876,4626.13,2123.42
-96.29,-10.08,-72.2,5.76,1876,4791.14,2556.73
-95.75,-9.99,-71.75,6.3,1876,4775.46,2366.49
-95.68,-9.83,-71.84,6.8,1876,5285.74,2711.21
-95.86,-9.94,-71.9,7.24,1876,4586.45,2623.1
-96.49,-9.55,-72.85,6.81,1876,5356.53,2919.61
-96.78,-9.77,-72.98,6.02,1876,5100.93,2545.22
-97.4,-9.68,-73.72,5.36,1876,4854.34,3048.42
-98.79,-8.99,-75.74,4.78,1876,4415.59,2238.24
-99.38,-8.83,-76.43,3.66,1876,3364.85,2031.91
-99.8,-9.93,-75.86,2.99,1876,3699.32,2320.25
-99.2,-9.51,-75.57,3.74,1876,3773.92,1988.91
-97.28,-8.38,-74.7,4.94,1876,3663.71,2192.46
-95.17,-8.75,-72.18,7.36,1876,4989.97,3072.49
-95.19,-9.43,-71.69,7.29,1876,5844.37,2854.65
-95.67,-9.52,-72.04,6.99,1876,5730.78,3438.82
-96.58,-9.75,-72.79,6.63,1876,6018.56,2885.06
-98.72,-9.75,-74.87,4.63,1876,5030.21,2353.43
-97.34,-8.96,-74.23,6.6,1876,4895.13,2943.51
-93.89,-8.34,-71.52,9.02,1876,5997.46,3335.74
-94.96,-9.25,-71.69,7.16,1876,6310.37,3255.2
-98.04,-9.41,-74.59,5.1,1876,4806.64,1673.21
-98.52,-9.66,-74.81,4.91,1876,4115.11,1484.51
