RSRP,RSRQ,RSSI,PCC_SINR,PCC_PHY_Thruput_DL,PDCP_Thruput_DL
-103,-10.65,-78.12,0.78,2321.4,1985.88
-103,-10.65,-78.12,0.78,2321.4,1985.88
-103,-10.65,-78.12,0.78,2321.4,1985.88
-103,-10.65,-78.12,0.78,2321.4,1985.88
-103.75,-10.3,-79.05,1.32,2523.38,2095.96
-103.75,-10.3,-79.05,1.32,2523.38,2095.96
-103.75,-10.3,-79.05,1.32,2523.38,2095.96
-103.75,-10.3,-79.05,1.32,2523.38,2095.96
-104.93,-10.4,-79.91,0.78,2371.84,2045.51
-104.93,-10.4,-79.91,0.78,2371.84,2045.51
-104.93,-10.4,-79.91,0.78,2371.84,2045.51
-104.93,-10.4,-79.91,0.78,2371.84,2045.51
-104.18,-10.51,-79.21,0.37,2202.12,1705.14
-104.18,-10.51,-79.21,0.37,2202.12,1705.14
-104.18,-10.51,-79.21,0.37,2202.12,1705.14
-104.18,-10.51,-79.21,0.37,2202.12,1705.14
-103.2,-10.5,-78.19,1.11,2106.55,1521.45
-103.2,-10.5,-78.19,1.11,2106.55,1521.45
-103.2,-10.5,-78.19,1.11,2106.55,1521.45
-103.2,-10.5,-78.19,1.11,2106.55,1521.45
-103.33,-11.11,-77.9,-0.09,2158.04,1706.59
-103.33,-11.11,-77.9,-0.09,2158.04,1706.59
-103.33,-11.11,-77.9,-0.09,2158.04,1706.59
-103.33,-11.11,-77.9,-0.09,2158.04,1706.59
-103.31,-10.74,-78.15,0.57,1801.86,1587.3
-103.31,-10.74,-78.15,0.57,1801.86,1587.3
-103.31,-10.74,-78.15,0.57,1801.86,1587.3
-103.31,-10.74,-78.15,0.57,1801.86,1587.3
-102.21,-10.02,-77.87,2.27,2953.42,2496.45
-102.21,-10.02,-77.87,2.27,2953.42,2496.45
-102.21,-10.02,-77.87,2.27,2953.42,2496.45
-102.21,-10.02,-77.87,2.27,2953.42,2496.45
-102.66,-10.32,-77.97,0.88,2713.38,2325.98
-102.66,-10.32,-77.97,0.88,2713.38,2325.98
-102.66,-10.32,-77.97,0.88,2713.38,2325.98
-102.66,-10.32,-77.97,0.88,2713.38,2325.98
-102.34,-10.34,-77.77,1.78,2086.8,1800.05
-102.34,-10.34,-77.77,1.78,2086.8,1800.05
-102.34,-10.34,-77.77,1.78,2086.8,1800.05
-102.34,-10.34,-77.77,1.78,2086.8,1800.05
-101.56,-9.84,-77.17,3.13,2464.61,2086.02
-101.56,-9.84,-77.17,3.13,2464.61,2086.02
-101.56,-9.84,-77.17,3.13,2464.61,2086.02
-101.56,-9.84,-77.17,3.13,2464.61,2086.02
-100.97,-10.02,-76.66,2.86,3117.46,2596.2
-100.97,-10.02,-76.66,2.86,3117.46,2596.2
-100.97,-10.02,-76.66,2.86,3117.46,2596.2
-100.97,-10.02,-76.66,2.86,3117.46,2596.2
-101.99,-10.29,-77.32,2.42,2919.19,2534.83
-101.99,-10.29,-77.32,2.42,2919.19,2534.83
-101.99,-10.29,-77.32,2.42,2919.19,2534.83
-101.99,-10.29,-77.32,2.42,2919.19,2534.83
-103.24,-10.56,-78.57,1.11,2326.72,1960.97
-103.24,-10.56,-78.57,1.11,2326.72,1960.97
-103.24,-10.56,-78.57,1.11,2326.72,1960.97
-103.24,-10.56,-78.57,1.11,2326.72,1960.97
-102.71,-10.42,-77.8,1.55,2578.72,2227.07
-102.71,-10.42,-77.8,1.55,2578.72,2227.07
-102.71,-10.42,-77.8,1.55,2578.72,2227.07
-102.71,-10.42,-77.8,1.55,2578.72,2227.07
-103.01,-10.76,-78.08,0.52,2605.46,2123.37
-103.01,-10.76,-78.08,0.52,2605.46,2123.37
-103.01,-10.76,-78.08,0.52,2605.46,2123.37
-103.01,-10.76,-78.08,0.52,2605.46,2123.37
-102.89,-11.14,-77.5,0.01,1884.47,1458.43
-102.89,-11.14,-77.5,0.01,1884.47,1458.43
-102.89,-11.14,-77.5,0.01,1884.47,1458.43
-102.89,-11.14,-77.5,0.01,1884.47,1458.43
-104.97,-9.76,-80.9,-1.56,1697.78,885.08
-104.97,-9.76,-80.9,-1.56,1697.78,885.08
-104.97,-9.76,-80.9,-1.56,1697.78,885.08
-104.97,-9.76,-80.9,-1.56,1697.78,885.08
-102.6,-8.88,-79.62,1.06,1660.28,1454.04
-102.6,-8.88,-79.62,1.06,1660.28,1454.04
-102.6,-8.88,-79.62,1.06,1660.28,1454.04
-102.6,-8.88,-79.62,1.06,1660.28,1454.04
-104.23,-10.29,-79.79,-1.09,2857.97,2726.81
-104.23,-10.29,-79.79,-1.09,2857.97,2726.81
-104.23,-10.29,-79.79,-1.09,2857.97,2726.81
-104.23,-10.29,-79.79,-1.09,2857.97,2726.81
-104.07,-9.78,-79.94,-0.73,1952.15,1350.09
-104.07,-9.78,-79.94,-0.73,1952.15,1350.09
-104.07,-9.78,-79.94,-0.73,1952.15,1350.09
-104.07,-9.78,-79.94,-0.73,1952.15,1350.09
-104.39,-10.4,-79.59,-2.41,1953.26,1453.96
-104.39,-10.4,-79.59,-2.41,1953.26,1453.96
-104.39,-10.4,-79.59,-2.41,1953.26,1453.96
-104.39,-10.4,-79.59,-2.41,1953.26,1453.96
-102.82,-10.47,-77.45,-1.8,1447.5,1407.99
