RSRP,RSRQ,RSSI,PCC_PHY_Thruput_DL,PDCP_Thruput_DL
-71.1,-6.12,-50.03,1689.84,209.99
-71.1,-6.12,-50.03,1689.84,209.99
-75.06,-13.61,-46.67,555.15,3.71
-75.06,-13.61,-46.67,555.15,3.71
-74.29,-10.38,-49.39,175.8,1.6
-74.29,-10.38,-49.39,175.8,1.6
-75.59,-10.96,-49.49,183.67,0.98
-75.59,-10.96,-49.49,183.67,0.98
-75.29,-10.55,-49.99,224.0,1.85
-75.29,-10.55,-49.99,224.0,1.85
-70.43,-5.21,-50.62,2481.29,426.93
-70.43,-5.21,-50.62,2481.29,426.93
-69.54,-8.47,-46.59,5810.86,4175.93
-69.54,-8.47,-46.59,5810.86,4175.93
-71.84,-8.99,-47.78,3158.39,2377.29
-71.84,-8.99,-47.78,3158.39,2377.29
-75.36,-10.08,-50.53,2572.23,2100.34
-75.36,-10.08,-50.53,2572.23,2100.34
-77.87,-10.23,-53.59,4101.64,2956.92
-77.87,-10.23,-53.59,4101.64,2956.92
-75.47,-9.81,-51.16,1272.61,1914.45
-75.47,-9.81,-51.16,1272.61,1914.45
-72.48,-8.94,-49.28,6394.75,4984.29
-72.48,-8.94,-49.28,6394.75,4984.29
-75.4,-8.88,-52.41,8110.57,5381.33
-75.4,-8.88,-52.41,8110.57,5381.33
-65.93,-8.34,-43.51,7552.95,12265.55
-65.93,-8.34,-43.51,7552.95,12265.55
-68.85,-8.49,-46.21,16705.42,10476.05
-68.85,-8.49,-46.21,16705.42,10476.05
-69.08,-8.64,-46.26,9920.58,10532.91
-69.08,-8.64,-46.26,9920.58,10532.91
-68.52,-8.38,-46.1,10191.56,10327.17
-68.52,-8.38,-46.1,10191.56,10327.17
-71.67,-8.34,-49.02,13092.93,9462.43
-71.67,-8.34,-49.02,13092.93,9462.43
-75.06,-8.59,-52.39,9483.85,7731.28
-75.06,-8.59,-52.39,9483.85,7731.28
-73.05,-8.85,-49.81,8788.13,8962.42
-73.05,-8.85,-49.81,8788.13,8962.42
-73.13,-8.72,-50.27,10142.78,9499.1
-73.13,-8.72,-50.27,10142.78,9499.1
-70.68,-8.17,-47.96,11887.01,10234.27
-70.68,-8.17,-47.96,11887.01,10234.27
-70.45,-8.62,-47.37,10745.22,9634.62
-70.45,-8.62,-47.37,10745.22,9634.62
-71.8,-8.87,-48.72,10007.33,8064.24
-71.8,-8.87,-48.72,10007.33,8064.24
-71.32,-9.41,-47.76,7037.32,6270.14
-71.32,-9.41,-47.76,7037.32,6270.14
-72.72,-10.19,-48.49,7592.18,4868.86
-72.72,-10.19,-48.49,7592.18,4868.86
-70.97,-9.6,-47.35,5364.04,5120.66
-70.97,-9.6,-47.35,5364.04,5120.66
-71.8,-9.83,-47.96,5168.81,4016.22
-71.8,-9.83,-47.96,5168.81,4016.22
-70.75,-9.72,-47.02,4754.72,4030.55
-70.75,-9.72,-47.02,4754.72,4030.55
-69.95,-9.39,-46.56,5275.36,2903.69
-69.95,-9.39,-46.56,5275.36,2903.69
-70.63,-9.44,-47.18,5368.0,2965.77
-70.63,-9.44,-47.18,5368.0,2965.77
-70.69,-9.16,-47.52,5877.74,5070.56
-70.69,-9.16,-47.52,5877.74,5070.56
-70.54,-9.44,-47.08,6318.21,5308.81
